environment_id,grid_id,recorded_date,aqi,temperature_c,rainfall_mm
ENV001,G001,2026-08-18,48,25.0,0.0
ENV002,G001,2026-08-19,71,32.5,19.0
ENV003,G001,2026-08-20,94,28.0,38.0
ENV004,G001,2026-08-21,117,35.5,10.0
ENV005,G001,2026-08-22,140,31.0,29.0
ENV006,G001,2026-08-23,163,27.5,1.0
ENV007,G001,2026-08-24,68,34.0,20.0
ENV008,G002,2026-08-18,65,30.5,11.0
ENV009,G002,2026-08-19,88,26.0,30.0
ENV010,G002,2026-08-20,111,33.5,2.0
ENV011,G002,2026-08-21,134,29.0,21.0
ENV012,G002,2026-08-22,157,25.5,40.0
ENV013,G002,2026-08-23,62,32.0,12.0
ENV014,G002,2026-08-24,85,28.5,31.0
ENV015,G003,2026-08-18,82,35.0,22.0
ENV016,G003,2026-08-19,105,31.5,41.0
ENV017,G003,2026-08-20,128,27.0,13.0
ENV018,G003,2026-08-21,151,34.5,32.0
ENV019,G003,2026-08-22,56,30.0,4.0
ENV020,G003,2026-08-23,79,26.5,23.0
ENV021,G003,2026-08-24,102,33.0,42.0
ENV022,G004,2026-08-18,99,29.5,33.0
ENV023,G004,2026-08-19,122,25.0,5.0
ENV024,G004,2026-08-20,145,32.5,24.0
ENV025,G004,2026-08-21,50,28.0,43.0
ENV026,G004,2026-08-22,73,35.5,15.0
ENV027,G004,2026-08-23,96,31.0,34.0
ENV028,G004,2026-08-24,119,27.5,6.0
ENV029,G005,2026-08-18,116,34.0,44.0
ENV030,G005,2026-08-19,139,30.5,16.0
ENV031,G005,2026-08-20,162,26.0,35.0
ENV032,G005,2026-08-21,67,33.5,7.0
ENV033,G005,2026-08-22,90,29.0,26.0
ENV034,G005,2026-08-23,113,25.5,45.0
ENV035,G005,2026-08-24,136,32.0,17.0
ENV036,G006,2026-08-18,133,28.5,8.0
ENV037,G006,2026-08-19,156,35.0,27.0
ENV038,G006,2026-08-20,61,31.5,46.0
ENV039,G006,2026-08-21,84,27.0,18.0
ENV040,G006,2026-08-22,107,34.5,37.0
ENV041,G006,2026-08-23,130,30.0,9.0
ENV042,G006,2026-08-24,153,26.5,28.0
ENV043,G007,2026-08-18,150,33.0,19.0
ENV044,G007,2026-08-19,55,29.5,38.0
ENV045,G007,2026-08-20,78,25.0,10.0
ENV046,G007,2026-08-21,101,32.5,29.0
ENV047,G007,2026-08-22,124,28.0,1.0
ENV048,G007,2026-08-23,147,35.5,20.0
ENV049,G007,2026-08-24,52,31.0,39.0
ENV050,G008,2026-08-18,49,27.5,30.0
ENV051,G008,2026-08-19,72,34.0,2.0
ENV052,G008,2026-08-20,95,30.5,21.0
ENV053,G008,2026-08-21,118,26.0,40.0
ENV054,G008,2026-08-22,141,33.5,12.0
ENV055,G008,2026-08-23,164,29.0,31.0
ENV056,G008,2026-08-24,69,25.5,3.0
ENV057,G009,2026-08-18,66,32.0,41.0
ENV058,G009,2026-08-19,89,28.5,13.0
ENV059,G009,2026-08-20,112,35.0,32.0
ENV060,G009,2026-08-21,135,31.5,4.0
ENV061,G009,2026-08-22,158,27.0,23.0
ENV062,G009,2026-08-23,63,34.5,42.0
ENV063,G009,2026-08-24,86,30.0,14.0
ENV064,G010,2026-08-18,83,26.5,5.0
ENV065,G010,2026-08-19,106,33.0,24.0
ENV066,G010,2026-08-20,129,29.5,43.0
ENV067,G010,2026-08-21,152,25.0,15.0
ENV068,G010,2026-08-22,57,32.5,34.0
ENV069,G010,2026-08-23,80,28.0,6.0
ENV070,G010,2026-08-24,103,35.5,25.0
ENV071,G011,2026-08-18,100,31.0,16.0
ENV072,G011,2026-08-19,123,27.5,35.0
ENV073,G011,2026-08-20,146,34.0,7.0
ENV074,G011,2026-08-21,51,30.5,26.0
ENV075,G011,2026-08-22,74,26.0,45.0
ENV076,G011,2026-08-23,97,33.5,17.0
ENV077,G011,2026-08-24,120,29.0,36.0
ENV078,G012,2026-08-18,117,25.5,27.0
ENV079,G012,2026-08-19,140,32.0,46.0
ENV080,G012,2026-08-20,163,28.5,18.0
ENV081,G012,2026-08-21,68,35.0,37.0
ENV082,G012,2026-08-22,91,31.5,9.0
ENV083,G012,2026-08-23,114,27.0,28.0
ENV084,G012,2026-08-24,137,34.5,0.0
ENV085,G013,2026-08-18,134,30.0,38.0
ENV086,G013,2026-08-19,157,26.5,10.0
ENV087,G013,2026-08-20,62,33.0,29.0
ENV088,G013,2026-08-21,85,29.5,1.0
ENV089,G013,2026-08-22,108,25.0,20.0
ENV090,G013,2026-08-23,131,32.5,39.0
ENV091,G013,2026-08-24,154,28.0,11.0
ENV092,G014,2026-08-18,151,35.5,2.0
ENV093,G014,2026-08-19,56,31.0,21.0
ENV094,G014,2026-08-20,79,27.5,40.0
ENV095,G014,2026-08-21,102,34.0,12.0
ENV096,G014,2026-08-22,125,30.5,31.0
ENV097,G014,2026-08-23,148,26.0,3.0
ENV098,G014,2026-08-24,53,33.5,22.0
ENV099,G015,2026-08-18,50,29.0,13.0
ENV100,G015,2026-08-19,73,25.5,32.0
