grid_id,district,latitude,longitude,population,population_density,hospital_count,nearest_hospital_distance_km
G001,Arambagh,17.4123,78.4931,38400,11200,2,0.8
G002,Arambagh,17.4302,78.521,27600,8900,1,1.4
G003,Arambagh,17.3987,78.4672,19800,7400,1,2.1
G004,Arambagh,17.3765,78.5128,15200,5100,0,3.6
G005,Silverwood,17.4455,78.3864,31500,9800,2,0.9
G006,Silverwood,17.4678,78.4021,24300,8100,1,1.7
G007,Silverwood,17.4298,78.3695,18700,6300,0,2.8
G008,Silverwood,17.4521,78.441,12900,4200,0,4.2
G009,Lakeview,17.5034,78.5478,35200,10400,2,0.6
G010,Lakeview,17.5267,78.5692,22800,7600,1,1.9
G011,Lakeview,17.4876,78.5814,17600,5900,0,3.1
G012,Lakeview,17.5145,78.524,14100,4700,0,4.5
G013,Old Town,17.3589,78.4856,41200,13800,2,0.5
G014,Old Town,17.3372,78.5021,36400,12400,1,1.1
G015,Old Town,17.3704,78.5238,29800,10600,1,1.6
G016,Old Town,17.3455,78.4633,21300,7200,0,2.4
G017,Harbour East,17.3912,78.5945,26400,8600,1,0.7
G018,Harbour East,17.4138,78.618,19700,6500,0,2.2
G019,Harbour East,17.3765,78.6321,15400,5300,0,3.4
G020,Harbour East,17.3588,78.5712,11800,3900,0,4.8
G021,Maple Ridge,17.5412,78.4315,16900,5600,1,1.2
G022,Maple Ridge,17.5634,78.4567,13600,4400,0,2.9
G023,Maple Ridge,17.5287,78.4088,10700,3500,0,3.8
G024,Maple Ridge,17.5821,78.4823,8900,2900,0,5.6
