operation_id,hospital_id,operation_date,admissions,discharges,emergency_visits,occupied_beds,available_beds,icu_occupied,average_wait_time_minutes
OP001,H001,2026-08-10,30,28,39,332,88,37,14
OP002,H001,2026-08-11,33,35,44,336,84,38,23
OP003,H001,2026-08-12,36,33,49,329,91,36,32
OP004,H001,2026-08-13,31,31,40,321,99,35,41
OP005,H001,2026-08-14,34,29,45,318,102,34,50
OP006,H001,2026-08-15,37,36,50,331,89,37,59
OP007,H001,2026-08-16,32,34,41,334,86,38,16
OP008,H001,2026-08-17,35,32,46,328,92,36,25
OP009,H001,2026-08-18,30,30,51,323,97,35,34
OP010,H001,2026-08-19,33,28,42,333,87,37,43
OP011,H002,2026-08-10,23,20,38,192,68,25,27
OP012,H002,2026-08-11,18,18,43,196,64,26,36
OP013,H002,2026-08-12,21,25,34,189,71,24,45
OP014,H002,2026-08-13,24,23,39,181,79,23,54
OP015,H002,2026-08-14,19,21,44,178,82,22,63
OP016,H002,2026-08-15,22,19,35,191,69,25,20
OP017,H002,2026-08-16,25,17,40,194,66,26,29
OP018,H002,2026-08-17,20,24,31,188,72,24,38
OP019,H002,2026-08-18,23,22,36,183,77,23,47
OP020,H002,2026-08-19,18,20,41,193,67,25,56
OP021,H003,2026-08-10,24,26,33,237,73,29,40
OP022,H003,2026-08-11,27,24,38,241,69,30,49
OP023,H003,2026-08-12,22,22,43,234,76,28,58
OP024,H003,2026-08-13,25,20,34,226,84,27,15
OP025,H003,2026-08-14,28,27,39,223,87,26,24
OP026,H003,2026-08-15,23,25,44,236,74,29,33
OP027,H003,2026-08-16,26,23,35,239,71,30,42
OP028,H003,2026-08-17,29,21,40,233,77,28,51
OP029,H003,2026-08-18,24,28,45,228,82,27,60
OP030,H003,2026-08-19,27,26,36,238,72,29,17
OP031,H004,2026-08-10,19,12,34,130,50,17,53
OP032,H004,2026-08-11,14,19,39,134,46,18,62
OP033,H004,2026-08-12,17,17,30,127,53,16,19
OP034,H004,2026-08-13,12,15,35,119,61,15,28
OP035,H004,2026-08-14,15,13,40,116,64,14,37
OP036,H004,2026-08-15,18,20,31,129,51,17,46
OP037,H004,2026-08-16,13,18,36,132,48,18,55
OP038,H004,2026-08-17,16,16,27,126,54,16,64
OP039,H004,2026-08-18,19,14,32,121,59,15,21
OP040,H004,2026-08-19,14,12,37,131,49,17,30
OP041,H005,2026-08-10,14,13,25,125,25,23,14
OP042,H005,2026-08-11,17,11,30,129,21,24,23
OP043,H005,2026-08-12,12,18,35,122,28,22,32
OP044,H005,2026-08-13,15,16,26,114,36,21,41
OP045,H005,2026-08-14,10,14,31,111,39,20,50
OP046,H005,2026-08-15,13,12,36,124,26,23,59
OP047,H005,2026-08-16,16,10,27,127,23,24,16
OP048,H005,2026-08-17,11,17,32,121,29,22,25
OP049,H005,2026-08-18,14,15,37,116,34,21,34
OP050,H005,2026-08-19,17,13,28,126,24,23,43
OP051,H006,2026-08-10,11,15,32,97,43,10,27
OP052,H006,2026-08-11,14,13,37,101,39,11,36
OP053,H006,2026-08-12,17,11,28,94,46,9,45
OP054,H006,2026-08-13,12,9,33,86,54,8,54
OP055,H006,2026-08-14,15,16,38,83,57,7,63
OP056,H006,2026-08-15,10,14,29,96,44,10,20
OP057,H006,2026-08-16,13,12,34,99,41,11,29
OP058,H006,2026-08-17,16,10,25,93,47,9,38
OP059,H006,2026-08-18,11,17,30,88,52,8,47
OP060,H006,2026-08-19,14,15,35,98,42,10,56
OP061,H007,2026-08-10,43,34,44,431,89,49,40
OP062,H007,2026-08-11,38,41,49,435,85,50,49
OP063,H007,2026-08-12,41,39,54,428,92,48,58
OP064,H007,2026-08-13,44,37,45,420,100,47,15
OP065,H007,2026-08-14,39,35,50,417,103,46,24
OP066,H007,2026-08-15,42,42,55,430,90,49,33
OP067,H007,2026-08-16,37,40,46,433,87,50,42
OP068,H007,2026-08-17,40,38,51,427,93,48,51
OP069,H007,2026-08-18,43,36,56,422,98,47,60
OP070,H007,2026-08-19,38,34,47,432,88,49,17
OP071,H008,2026-08-10,17,16,35,153,47,18,53
OP072,H008,2026-08-11,20,14,40,157,43,19,62
OP073,H008,2026-08-12,15,21,31,150,50,17,19
OP074,H008,2026-08-13,18,19,36,142,58,16,28
OP075,H008,2026-08-14,21,17,41,139,61,15,37
OP076,H008,2026-08-15,16,15,32,152,48,18,46
OP077,H008,2026-08-16,19,13,37,155,45,19,55
OP078,H008,2026-08-17,14,20,28,149,51,17,64
OP079,H008,2026-08-18,17,18,33,144,56,16,21
OP080,H008,2026-08-19,20,16,38,154,46,18,30
OP081,H009,2026-08-10,11,16,26,139,21,33,14
OP082,H009,2026-08-11,14,14,31,143,17,34,23
OP083,H009,2026-08-12,17,12,36,136,24,32,32
OP084,H009,2026-08-13,12,10,27,128,32,31,41
OP085,H009,2026-08-14,15,17,32,125,35,30,50
OP086,H009,2026-08-15,18,15,37,138,22,33,59
OP087,H009,2026-08-16,13,13,28,141,19,34,16
OP088,H009,2026-08-17,16,11,33,135,25,32,25
OP089,H009,2026-08-18,11,18,38,130,30,31,34
OP090,H009,2026-08-19,14,16,29,140,20,33,43
OP091,H010,2026-08-10,32,25,44,297,83,34,27
OP092,H010,2026-08-11,27,32,49,301,79,35,36
OP093,H010,2026-08-12,30,30,40,294,86,33,45
OP094,H010,2026-08-13,33,28,45,286,94,32,54
OP095,H010,2026-08-14,28,26,50,283,97,31,63
OP096,H010,2026-08-15,31,33,41,296,84,34,20
OP097,H010,2026-08-16,34,31,46,299,81,35,29
OP098,H010,2026-08-17,29,29,37,293,87,33,38
OP099,H010,2026-08-18,32,27,42,288,92,32,47
OP100,H010,2026-08-19,27,25,47,298,82,34,56
